"Location","Total Offenses","Assault Offenses","Homicide Offenses","Human Trafficking Offenses","Kidnapping Abduction","Sex Offenses"
Total,"3,931,869","3,647,135","18,841","3,117","49,184","213,592"
Abandoned/Condemned Structure,"1,347","1,046",33,3,35,230
Air/Bus/Train Terminal,"18,678","17,586",44,11,105,932
Amusement Park,"2,839","2,544",6,0,21,268
Arena/Stadium/Fairgrounds/Coliseum,"4,499","4,262",4,0,15,218
ATM Separate From Bank,266,234,4,0,7,21
Auto Dealership New/Used,"2,097","2,026",6,0,19,46
Bank/Savings and Loan,"3,257","3,101",26,4,87,39
Bar/Nightclub,"52,238","50,183",276,15,159,"1,605"
Camp/Campground,"4,647","3,920",22,4,69,632
Church/Synagogue/Temple/Mosque,"6,710","5,896",22,8,67,717
Commercial/Office Building,"36,554","34,366",128,34,361,"1,665"
Community Center,"4,632","4,209",10,1,30,382
Construction Site,"3,670","3,437",20,3,49,161
Convenience Store,"41,326","39,887",259,15,430,735
Cyberspace,"22,844","22,701",0,143,0,0
Daycare Facility,"4,139","3,564",5,0,49,521
Department/Discount Store,"25,646","24,712",31,5,186,712
Dock/Wharf/Freight/Modal Terminal,"1,356","1,258",10,0,6,82
Drug Store/Doctor's Office/Hospital,"67,652","62,952",72,29,196,"4,403"
Farm Facility,723,616,16,2,12,77
Field/Woods,"12,828","10,602",320,13,220,"1,673"
Gambling Facility/Casino/Race Track ,"5,634","5,373",6,26,51,178
Government/Public Building,"27,002","24,817",49,29,284,"1,823"
Grocery/Supermarket,"25,971","25,101",63,5,195,607
Highway/Road/Alley/Street/Sidewalk,"489,434","465,976","6,015",475,"6,756","10,212"
Hotel/Motel/Etc.,"71,223","61,370",269,568,"1,776","7,240"
Industrial Site,"3,135","2,980",13,8,22,112
Jail/Prison/Penitentiary/Corrections Facility,"47,872","45,391",85,18,82,"2,296"
Lake/Waterway/Beach,"2,950","2,538",39,0,22,351
Liquor Store,"3,385","3,259",27,2,23,74
Military Installation,238,207,0,0,4,27
Park/Playground,"39,215","35,089",227,43,375,"3,481"
Parking/Drop Lot/Garage,"157,597","149,215","1,336",68,"2,218","4,760"
Rental Storage Facility,"3,593","3,371",12,0,64,146
Residence/Home,"2,262,330","2,084,387","8,209","1,193","31,471","137,070"
Rest Area,"1,097",985,5,1,13,93
Restaurant,"61,691","59,220",135,17,428,"1,891"
School/College,"14,721","13,561",5,2,58,"1,095"
School/College/University,"18,335","16,443",24,3,158,"1,707"
School/Elementary/Secondary,"157,189","146,812",40,25,624,"9,688"
Service/Gas Station,"32,291","31,092",228,7,462,502
Shelter/Mission/Homeless,"14,096","13,485",8,3,53,547
Shopping Mall,"10,726","10,130",28,11,74,483
Specialty Store,"22,986","21,815",76,25,208,862
Tribal Lands,"1,702","1,560",23,0,16,103
Other/Unknown,"139,508","123,856",605,298,"1,624","13,125"
