"Time of Day","Total Incidents","Arson","Bribery","Burglary Breaking and Entering","Counterfeiting Forgery","Destruction Damage Vandalism",Embezzlement,"Extortion Blackmail","Fraud Offenses","LarcenyTheftOffenses","MotorVehicleTheft",Robbery,"Stolen Property Offenses"
Total,"8,567,952","32,301",807,"682,098","153,843","1,653,806","35,153","27,031","911,820","3,863,371","892,390","179,092","136,240"
Total A.M. Hours,"3,467,688","16,045",334,"331,746","64,952","711,061","14,734","10,753","398,512","1,418,693","378,839","67,927","54,092"
Midnight-12:59 a.m.,"723,878","2,696",86,"59,975","18,950","133,017","4,162","2,771","118,035","293,748","70,236","12,107","8,095"
1 a.m.-1:59 a.m.,"201,739","1,604",23,"22,737","2,025","55,371",288,627,"9,746","69,711","27,751","7,387","4,469"
2 a.m.-2:59 a.m.,"181,837","1,488",29,"23,933","1,320","49,160",215,492,"7,277","62,580","24,583","6,832","3,928"
3 a.m.-3:59 a.m.,"166,092","1,480",15,"25,609",871,"43,021",216,337,"5,957","57,329","22,341","5,741","3,175"
4 a.m.-4:59 a.m.,"145,235","1,409",8,"24,019",748,"35,369",193,310,"5,336","50,069","20,495","4,894","2,385"
5 a.m.-5:59 a.m.,"135,367","1,144",5,"19,790",667,"32,532",232,229,"5,399","47,629","21,650","4,198","1,892"
6 a.m.-6:59 a.m.,"163,280",977,6,"18,293","1,255","37,791",456,376,"10,648","61,194","26,383","3,685","2,216"
7 a.m.-7:59 a.m.,"224,479",975,15,"21,518","2,336","52,881",698,542,"15,673","90,529","32,604","3,255","3,453"
8 a.m.-8:59 a.m.,"378,059","1,053",29,"31,584","9,927","71,933","2,199","1,306","55,087","157,951","37,858","3,744","5,388"
9 a.m.-9:59 a.m.,"360,024","1,034",32,"28,435","8,664","67,129","1,820","1,136","51,269","157,246","32,788","4,510","5,961"
 10 a.m.-10:59 a.m.,"393,465","1,119",43,"28,986","9,174","68,626","2,191","1,340","57,512","180,226","32,400","5,441","6,407"
 11 a.m.-11:59 a.m.,"394,233","1,066",43,"26,867","9,015","64,231","2,064","1,287","56,573","190,481","29,750","6,133","6,723"
Total P.M. Hours,"4,973,126","15,942",447,"339,408","85,401","918,683","19,682","15,974","495,457","2,393,811","496,423","110,437","81,461"
Noon-12:59 p.m.,"553,175","1,150",38,"38,543","15,547","77,985","3,654","2,100","99,356","261,110","39,622","6,692","7,378"
1 p.m.-1:59 p.m.,"422,338","1,075",42,"26,164","9,719","63,402","2,159","1,311","59,241","215,223","29,438","7,249","7,315"
2 p.m.-2:59 p.m.,"443,300","1,149",37,"27,431","10,107","66,481","2,315","1,340","58,804","228,530","31,295","8,003","7,808"
3 p.m.-3:59 p.m.,"474,014","1,241",45,"31,104","10,355","74,451","2,537","1,399","59,626","241,447","34,759","8,948","8,102"
4 p.m.-4:59 p.m.,"472,944","1,182",49,"31,877","9,243","77,197","2,121","1,424","53,419","241,480","37,749","9,233","7,970"
5 p.m.-5:59 p.m.,"487,809","1,382",41,"36,627","7,158","88,621","1,725","1,395","43,401","246,135","44,613","9,092","7,619"
6 p.m.-6:59 p.m.,"450,606","1,319",28,"31,500","5,638","84,913","1,391","1,409","34,427","226,923","46,527","9,678","6,853"
7 p.m.-7:59 p.m.,"396,942","1,329",32,"25,399","4,951","77,705","1,091","1,283","26,506","197,167","44,742","10,238","6,499"
8 p.m.-8:59 p.m.,"382,568","1,458",35,"24,798","4,249","81,513",890,"1,340","21,727","180,467","49,124","10,959","6,008"
9 p.m.-9:59 p.m.,"332,135","1,496",36,"22,920","3,468","78,381",741,"1,071","16,309","142,463","48,445","11,172","5,633"
 10 p.m.-10:59 p.m.,"309,278","1,612",32,"22,814","2,821","79,737",642,"1,008","12,721","122,365","50,113","10,097","5,316"
 11 p.m.-11:59 p.m.,"248,017","1,549",32,"20,231","2,145","68,297",416,894,"9,920","90,501","39,996","9,076","4,960"
Unknown Time of Day,"127,138",314,26,"10,944","3,490","24,062",737,304,"17,851","50,867","17,128",728,687
