"Time of Day","Total Incidents","Animal Cruelty","Drug Narcotic Offenses","Gambling Offenses","Pornography Obscene Material","Prostitution Offenses","Weapon Law Violations"
Total,"1,986,224","22,401","1,544,907","2,804","45,394","15,657","355,061"
Total A.M. Hours,"785,841","8,604","606,977",871,"20,804","4,674","143,911"
Midnight-12:59 a.m.,"166,357","1,378","125,222",164,"6,508","1,364","31,721"
1 a.m.-1:59 a.m.,"91,102",225,"70,466",90,564,525,"19,232"
2 a.m.-2:59 a.m.,"70,399",158,"53,468",55,434,307,"15,977"
3 a.m.-3:59 a.m.,"46,740",130,"35,388",28,348,163,"10,683"
4 a.m.-4:59 a.m.,"29,135",115,"21,445",24,296,66,"7,189"
5 a.m.-5:59 a.m.,"20,557",126,"14,979",6,315,49,"5,082"
6 a.m.-6:59 a.m.,"25,381",249,"19,353",15,523,90,"5,151"
7 a.m.-7:59 a.m.,"40,316",503,"32,174",37,"1,137",136,"6,329"
8 a.m.-8:59 a.m.,"61,472","1,132","48,207",63,"2,783",281,"9,006"
9 a.m.-9:59 a.m.,"71,723","1,444","57,032",93,"2,651",376,"10,127"
 10 a.m.-10:59 a.m.,"80,187","1,572","63,951",136,"2,688",562,"11,278"
 11 a.m.-11:59 a.m.,"82,472","1,572","65,292",160,"2,557",755,"12,136"
Total P.M. Hours,"1,174,627","13,551","916,589","1,888","23,497","10,899","208,203"
Noon-12:59 p.m.,"85,899","1,907","66,233",183,"3,731",778,"13,067"
1 p.m.-1:59 p.m.,"88,639","1,688","69,854",199,"2,737",758,"13,403"
2 p.m.-2:59 p.m.,"95,464","1,646","75,698",171,"2,816",750,"14,383"
3 p.m.-3:59 p.m.,"97,903","1,639","77,281",152,"2,730",778,"15,323"
4 p.m.-4:59 p.m.,"95,635","1,473","75,201",183,"2,139",955,"15,684"
5 p.m.-5:59 p.m.,"88,115","1,249","68,064",171,"1,838","1,066","15,727"
6 p.m.-6:59 p.m.,"88,421","1,049","68,244",163,"1,523","1,050","16,392"
7 p.m.-7:59 p.m.,"97,101",894,"75,302",159,"1,440","1,063","18,243"
8 p.m.-8:59 p.m.,"103,331",741,"80,247",161,"1,376","1,034","19,772"
9 p.m.-9:59 p.m.,"109,248",502,"84,745",122,"1,329",962,"21,588"
 10 p.m.-10:59 p.m.,"113,136",421,"88,124",119,"1,025",898,"22,549"
 11 p.m.-11:59 p.m.,"111,735",342,"87,596",105,813,807,"22,072"
Unknown Time of Day,"25,756",246,"21,341",45,"1,093",84,"2,947"

