"Location","Total Offenses","Animal Cruelty","Drug Narcotic Offenses","Gambling Offenses","Pornography Obscene Material","Prostitution Offenses","Weapon LawnViolations"
Total,"1,986,224","22,401","1,544,907","2,804","45,394","15,657","355,061"
Abandoned/Condemned Structure,"1,789",41,"1,560",3,3,5,177
Air/Bus/Train Terminal,"16,547",22,"11,122",0,52,12,"5,339"
Amusement Park,818,10,624,16,9,0,159
Arena/Stadium/Fairgrounds/Coliseum,642,11,460,5,8,5,153
ATM Separate From Bank,145,0,109,0,3,1,32
Auto Dealership New/Used,914,5,732,2,7,3,165
Bank/Savings and Loan,"1,960",8,"1,643",2,15,5,287
Bar/Nightclub,"6,212",14,"3,418",70,36,174,"2,500"
Camp/Campground,"1,436",31,"1,154",1,21,3,226
Church/Synagogue/Temple/Mosque,"3,019",31,"2,513",0,40,7,428
Commercial/Office Building,"14,675",188,"11,398",251,204,457,"2,177"
Community Center,908,9,685,2,26,0,186
Construction Site,"2,324",7,"1,967",0,9,2,339
Convenience Store,"32,106",58,"27,209",484,75,75,"4,205"
Cyberspace,"9,545",0,50,5,"9,222",197,71
Daycare Facility,215,8,157,0,14,0,36
Department/Discount Store,"25,052",88,"22,178",31,163,37,"2,555"
Dock/Wharf/Freight/Modal Terminal,"1,610",3,"1,475",0,7,1,124
Drug Store/Doctor's Office/Hospital,"13,094",101,"11,462",1,98,21,"1,411"
Farm Facility,478,218,180,3,5,0,72
Field/Woods,"11,363",634,"8,017",1,32,72,"2,607"
Gambling Facility/Casino/Race Track ,"8,228",25,"5,799",790,6,"1,086",522
Government/Public Building,"14,997",177,"11,714",17,"1,353",49,"1,687"
Grocery/Supermarket,"15,921",97,"13,740",53,79,22,"1,930"
Highway/Road/Alley/Street/Sidewalk,"1,004,152","2,002","826,825",206,450,"4,783","169,886"
Hotel/Motel/Etc.,"39,718",223,"30,125",63,282,"4,677","4,348"
Industrial Site,"1,002",10,809,2,12,1,168
Jail/Prison/Penitentiary/Corrections Facility,"23,262",8,"21,313",0,137,13,"1,791"
Lake/Waterway/Beach,"1,927",56,"1,532",0,11,5,323
Liquor Store,"1,396",9,984,6,0,2,395
Military Installation,78,2,48,0,5,0,23
Park/Playground,"26,245",355,"21,541",7,150,75,"4,117"
Parking/Drop Lot/Garage,"159,797","1,283","133,795",28,209,692,"23,790"
Rental Storage Facility,"2,554",47,"2,079",0,30,3,395
Residence/Home,"322,451","15,383","198,227",279,"22,528","1,856","84,178"
Rest Area,578,8,484,0,8,1,77
Restaurant,"14,534",75,"11,467",23,149,59,"2,761"
School/College,"6,517",6,"4,931",6,406,2,"1,166"
School/College/University,"9,614",20,"7,851",3,394,7,"1,339"
School/Elementary/Secondary,"69,658",36,"54,260",12,"4,046",24,"11,280"
Service/Gas Station,"28,337",51,"24,123",60,53,76,"3,974"
Shelter/Mission/Homeless,"2,323",29,"1,938",0,31,6,319
Shopping Mall,"5,185",37,"4,035",65,46,81,921
Specialty Store ,"13,280",87,"9,353",89,94,241,"3,416"
Tribal Lands,"1,178",9,890,2,8,0,269
Other/Unknown,"68,440",879,"48,931",216,"4,858",819,"12,737"
